i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
276,528,847192,7249.599,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,847193,1413.057,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,847330,4555.321,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,854211,221.651,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,870323,87294.715,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,870324,3163.754,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
276,528,870899,19978.735,251385.767,87294.715,221.651,1204003.963,4555.321,3163.754,1413.057,19978.735,7249.599,0
826,842,270900,12199309.65,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,271000,3582187.182,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,847192,2681.312,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,847193,1416.937,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,847330,5424.57,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,854211,329.533,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,870323,1007.125,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,870324,77689,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,870899,29227.783,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,842,880240,359.55,12199309.65,1007.125,329.533,3582187.182,5424.57,77689,1416.937,29227.783,2681.312,359.55
826,276,270900,15736539.43,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,271000,3555467.178,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,847192,19704.264,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,847193,1132.876,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,847330,2710.397,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,854211,1493.098,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,870323,112235.686,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,870324,9707.292,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
826,276,870899,101553.314,15736539.43,112235.686,1493.098,3555467.178,2710.397,9707.292,1132.876,101553.314,19704.264,0
392,344,271000,797483.212,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,847192,4601.043,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,847193,947.436,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,847330,4172.859,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,854211,12321.734,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,870323,151025.567,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,870324,15959.403,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
392,344,870899,6217.023,0,151025.567,12321.734,797483.212,4172.859,15959.403,947.436,6217.023,4601.043,0
842,410,270900,1735201.76,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,271000,494921.551,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
842,410,847192,1360,1735201.76,4425.914,801.201,494921.551,1612.375,3421.5,399.5,4333.792,1360,778.812
